Title,Price
"APPLE iPhone 15 (Black, 128 GB)","₹73,999"
"APPLE iPhone 15 (Green, 128 GB)","₹73,999"
"APPLE iPhone 15 (Pink, 128 GB)","₹73,999"
"APPLE iPhone 14 (Midnight, 128 GB)","₹59,999"
"APPLE iPhone 15 (Blue, 128 GB)","₹73,999"
"APPLE iPhone 14 (Starlight, 128 GB)","₹59,999"
"APPLE iPhone 14 (Blue, 128 GB)","₹59,999"
"APPLE iPhone 14 (Purple, 128 GB)","₹59,999"
"APPLE iPhone 15 Plus (Black, 128 GB)","₹82,999"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹66,999"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹66,999"
"APPLE iPhone 12 (Blue, 64 GB)","₹42,999"
"APPLE iPhone 15 Plus (Blue, 128 GB)","₹82,999"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹66,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹66,999"
"APPLE iPhone 12 (White, 64 GB)","₹42,999"
"APPLE iPhone 14 (Yellow, 128 GB)","₹59,999"
"APPLE iPhone 12 (Black, 64 GB)","₹42,999"
"APPLE iPhone 12 (Blue, 128 GB)","₹48,999"
"APPLE iPhone 14 (Blue, 256 GB)","₹68,999"
"APPLE iPhone 12 (Green, 64 GB)","₹43,999"
"APPLE iPhone 14 (Purple, 256 GB)","₹68,999"
"APPLE iPhone 14 (Starlight, 256 GB)","₹68,999"
"APPLE iPhone 15 Plus (Pink, 128 GB)","₹82,999"
